Y               D               1               2               3               Y1              Y0              U1              U0              V             
 1.459381       0               1.0             0.302476        0.328455         3.272893        1.459381       2.740405        3.688888        5.931553      
 2.173740       1               1.0             1.094047        0.297911         2.173740       -1.029281       3.467407        2.535686        1.889051      
-2.818931       1               1.0             1.678054        1.293023        -2.818931       -2.452953      -0.177960        2.097292       -1.820139      
-0.984368       0               1.0             0.875604       -0.720896         1.307692       -0.984368       2.097410        2.212064        3.853564      
 2.368179       1               1.0            -0.018031       -1.002560         2.368179       -1.910859       1.096282       -0.222078        1.276677      
-1.946911       1               1.0             0.055157        0.501480        -1.946911       -2.130639      -3.049965       -0.318385        0.430889      
 1.077337       1               1.0            -0.634654       -0.542613         1.077337       -2.166987      -1.617109       -1.518511        1.044416      
 1.968158       1               1.0            -0.967420        0.728855         1.968158        0.729691      -1.493980        0.816757       -1.330976      
-0.530232       1               1.0             0.683064        0.391963        -0.530232       -0.637674      -0.184704        2.233923        0.266103      
 3.699020       1               1.0            -0.271868        0.630756         3.699020        2.152009       1.841520        3.412540       -2.535714      
 1.347023       0               1.0            -0.151693        0.093686         2.253919        1.347023       0.673664        2.810303        2.751930      
 4.961237       1               1.0            -0.948722       -0.838112         4.961237       -2.463249       1.542235       -2.344638       -1.554534      
-0.357892       0               1.0            -1.537882        0.100318         4.896122       -0.357892       0.117929       -1.233253        2.642939      
-3.481506       1               1.0             2.136504       -0.084979        -3.481506       -3.729770       0.217108        1.593925       -1.677519      
-3.419338       1               1.0             1.469033       -0.988052        -3.419338       -1.807086      -1.260579        2.390519        1.708503      
 2.417386       1               1.0             0.580777        0.964016         2.417386       -6.583293       2.526939       -3.884264        0.480042      
 0.777131       0               1.0            -0.174346        0.724757         1.133039        0.777131      -0.499477        2.202193        3.034218      
-0.855399       0               1.0            -1.552085       -0.459518         4.018185       -0.855399      -0.792776       -1.754723        6.415685      
 3.829523       1               1.0            -0.267164        1.220547         3.829523       -1.281279       1.982876       -0.012811        1.338859      
-3.678514       0               1.0             0.854713        0.459933        -0.065489       -3.678514       0.676035       -0.517328        3.166583      
 2.687754       1               1.0            -1.425579       -0.759445         2.687754        0.271926      -1.831357       -0.413969        0.285364      
 3.040970       0               1.0            -1.179043        1.017485         6.426593        3.040970       2.476241        2.771007        2.381390      
-3.464678       1               1.0             0.085473        0.051597        -3.464678       -4.022964      -4.497792       -2.159563       -4.466807      
 1.526093       0               1.0             0.484619       -0.600997        -2.320198        1.526093      -2.432482        4.062894        3.573373      
 1.391792       1               1.0             0.173750       -0.599865         1.391792       -9.243564       0.562334       -7.231230       -7.305636      
 2.932668       1               1.0            -0.849752        0.367869         2.932668        2.347726      -0.258011        2.633309        0.884715      
 1.841587       1               1.0            -1.871503        2.398293         1.841587        5.547081      -3.706271        4.108867       -3.578733      
-6.437997       1               1.0             0.971068        0.740502        -6.437997       -8.245583      -5.428043       -4.888094       -4.144026      
 4.170087       0               1.0             0.736008        1.696224        -0.391001        4.170087       0.076669        7.131006        2.956334      
 3.563939       1               1.0            -0.611849       -0.216417         3.563939        0.922772       0.922103        1.609721       -4.414461      
 4.301492       1               1.0            -1.183220       -1.341561         4.301492        4.454082       0.341504        4.177071        0.701269      
 4.077681       1               1.0            -1.145359       -1.160601         4.077681        1.324051       0.205038        1.110916       -1.053505      
 2.246161       1               1.0             0.018721       -0.907988         2.246161        0.303981       1.059049        2.054765        0.990090      
 4.207004       0               1.0            -0.588197        2.579418        -0.218348        4.207004      -2.805618        4.933856        1.724652      
-0.399434       1               1.0             0.930192       -0.903532        -0.399434       -2.808303       0.516220        0.480225       -2.629497      
-6.344047       1               1.0             1.941262       -0.357239        -6.344047       -7.687089      -3.095856       -2.692787       -1.390291      
 4.104559       1               1.0            -1.781834        0.717140         4.104559        3.947415      -1.236432        2.660484       -4.660147      
 0.146032       0               1.0             0.641880        0.034205        -0.708435        0.146032      -0.457917        2.948148        3.618514      
 2.070932       1               1.0            -1.242182       -0.163001         2.070932       -0.822961      -2.025083       -1.199447       -3.253262      
-4.270653       0               1.0             0.204637       -0.660633         5.363316       -4.270653       4.605115       -2.206209        3.113248      
 6.468724       1               1.0            -2.165970       -0.999102         6.468724       -3.131651       0.241531       -5.066660        1.653978      
 2.896556       1               1.0             0.871981       -0.774686         2.896556       -7.043259       3.677917       -3.852940        0.156724      
 2.686559       0               1.0            -0.117077       -0.310029         1.484572        2.686559      -0.015824        4.208239        3.720318      
 6.089398       1               1.0            -1.136800       -1.659246         6.089398        1.606131       2.236501        1.407436        2.878636      
-0.017506       1               1.0            -0.225150       -1.016515        -0.017506       -3.964776      -1.767226       -2.625426       -2.060344      
 5.312382       1               1.0            -0.730730        0.285425         5.312382        1.315190       2.396288        1.801576       -1.162938      
 0.202254       0               1.0            -0.251641        2.193102         5.578359        0.202254       3.767523        1.496911        2.146865      
 4.635097       1               1.0            -0.877771        4.036359         4.635097        0.140462       1.379780        0.378775        0.668686      
-1.456677       1               1.0             0.693478       -0.341469        -1.456677       -4.448201      -1.087125       -1.559036        1.271695      
 5.535009       1               1.0            -1.856831        1.446077         5.535009        5.040566       0.021001        3.627107       -3.556327      
 1.120087       1               1.0            -1.281102       -0.013383         1.120087        2.987915      -3.065716        2.545767       -0.567040      
 2.289890       1               1.0             0.687737       -1.155335         2.289890       -8.682656       2.646199       -5.803175       -2.244884      
-1.046181       0               1.0             0.745365        0.627353         1.392398       -1.046181       1.881655        1.930524        3.552018      
 1.383401       1               1.0             1.081227        0.222930         1.383401       -5.476545       2.647492       -1.933207        0.061687      
 5.553499       1               1.0             0.390920        0.354841         5.553499       -7.728785       5.225051       -5.350064       -0.457967      
 0.749270       1               1.0            -0.134820        0.334930         0.749270        3.398172      -0.792060        4.889917       -3.388705      
-0.449281       0               1.0             0.762035       -0.351257        -0.025165       -0.449281       0.502550        2.555549        5.232179      
-4.338003       1               1.0             2.906003        0.069267        -4.338003       -9.005218       1.135845       -2.383301       -0.969021      
 1.094430       1               1.0            -0.542323       -0.705355         1.094430       -3.658113      -1.387010       -2.853866       -1.056645      
-0.077858       1               1.0             1.597126        0.675031        -0.077858       -4.084899       2.376411        0.328812       -4.423296      
 1.312245       1               1.0            -1.203761        1.546007         1.312245        1.804005      -2.695133        1.492340       -0.629458      
-3.312021       0               1.0             1.356367        1.134184        -0.814630       -3.312021       1.084208        0.695505        4.893541      
 1.928828       1               1.0             0.002097        3.227101         1.928828        4.818746       0.703365        6.541483       -0.457202      
-0.784903       1               1.0            -0.078252       -1.353173        -0.784903       -7.019357      -2.195731       -5.432176       -5.185167      
-0.966521       0               1.0             0.726608        0.388524        -2.432013       -0.966521      -1.986029        1.978539        2.361833      
-1.305589       1               1.0             0.511142       -0.807812        -1.305589       -4.007461      -1.356684       -1.425914       -4.296662      
-0.179740       0               1.0            -1.695791       -2.171927         5.252707       -0.179740       0.110216       -1.321510        4.391964      
 3.348289       1               1.0            -0.837418        1.002911         3.348289       -0.837556       0.186065       -0.531164        1.420803      
 1.009544       1               1.0            -0.820092        2.235681         1.009544        3.214910      -2.112709        3.550532       -1.832390      
-0.107716       1               1.0            -0.252218        0.845058        -0.107716        0.732481      -1.919883        2.026164       -1.759264      
-1.574804       1               1.0            -0.453322        0.364084        -1.574804       -6.377619      -3.850918       -5.423219       -7.770183      
-2.387800       1               1.0             1.996461        0.625150        -2.387800       -3.137441       0.987735        1.949988        0.790404      
-5.027064       1               1.0             0.078585        0.874807        -5.027064        4.066243      -6.076068        5.918024       -4.010960      
-3.711043       0               1.0             0.220742        1.435232         0.224025       -3.711043      -0.497024       -1.619430        3.967401      
 1.789588       1               1.0             0.529473        0.076431         1.789588       -2.627721       1.780783       -0.015247        1.098996      
 6.441732       1               1.0            -2.383294       -1.141214         6.441732        6.450290      -0.286828        4.148634        1.249974      
-0.137590       1               1.0             0.524807       -0.582840        -0.137590       -1.577852      -0.157162        1.026749       -2.881342      
 2.324465       1               1.0            -0.160411        0.084831         2.324465       -2.977498       0.724097       -1.528927        0.654942      
 0.813401       1               1.0            -0.028411       -2.058172         0.813401       -2.446348      -0.482443       -0.775080       -0.698661      
 5.181670       1               1.0            -1.006413       -1.017567         5.181670       -1.882337       1.629575       -1.861057       -2.967354      
 0.627246       1               1.0            -1.555280        0.839534         0.627246        2.043673      -4.191084        1.138961       -0.861619      
-2.288743       1               1.0            -0.181753        1.935487        -2.288743        4.246983      -3.938347        5.659547       -0.138293      
 2.020908       1               1.0            -0.709622        0.455052         2.020908        1.170232      -0.846490        1.692228        0.068218      
 0.605844       1               1.0            -0.058821       -0.210647         0.605844        1.211684      -0.760157        2.831647       -1.694289      
 2.406610       1               1.0            -0.381511        0.299783         2.406610       -2.979948       0.296163       -1.904396        1.038800      
-1.115820       1               1.0            -0.525069        0.513317        -1.115820       -1.484120      -3.557453       -0.650763       -2.150534      
-1.186013       0               1.0            -1.482468        0.395628         7.802257       -1.186013       3.151904       -1.967884        5.267015      
-4.687081       0               1.0             0.376416        1.496943         2.074206       -4.687081       1.712299       -2.332829        2.892342      
 2.536053       1               1.0            -0.396973       -0.178386         2.536053        1.393892       0.389937        2.443359        0.424380      
 1.128762       1               1.0             1.014022       -0.001118         1.128762       -2.921569       2.237810        0.508387       -1.094239      
 2.607716       1               1.0            -1.233432        0.152061         2.607716       -2.177035      -1.468112       -2.538759       -3.915026      
 5.503472       1               1.0             0.142094        0.967811         5.503472       -0.358735       4.600984        1.600192        1.508771      
 2.283034       1               1.0            -0.813637       -0.031415         2.283034       -4.159016      -0.824327       -3.812503        2.490019      
-7.240189       0               1.0             2.466704       -0.884447        -4.075935       -7.240189       0.384452       -1.359412        3.409264      
 1.997476       1               1.0            -0.098358        0.894411         1.997476       -0.920522       0.540266        0.632739       -5.416571      
-1.356825       1               1.0             0.397321       -0.005430        -1.356825       -2.597071      -1.670504       -0.207550       -1.756047      
 0.882957       1               1.0             0.303207       -1.032838         0.882957        4.144372       0.352156        6.375113        2.648151      
-0.924248       1               1.0             0.533708       -0.801689        -0.924248       -1.406144      -0.923284        1.213474        0.928824      
 2.584086       1               1.0            -1.129160        0.929635         2.584086       -0.713829      -1.251187       -0.899635        0.260690      
 1.172185       1               1.0             0.441835        1.769240         1.172185       -4.236576       0.961198       -1.771956        1.068115      
-1.508094       0               1.0             0.339837        0.427374         0.168324       -1.508094      -0.277972        0.784445        2.716982      
-8.353370       0               1.0            -0.128747        0.964461        -0.232181       -8.353370      -1.759501       -6.851380        3.454771      
 4.162047       1               1.0            -1.588290        0.559999         4.162047       -1.663733      -0.732438       -2.624138       -2.870635      
-0.329970       1               1.0             1.944701        0.247582        -0.329970       -6.079152       2.926156       -1.079047        0.168556      
 0.100857       1               1.0             0.996980       -0.501222         0.100857       -6.251030       1.170590       -2.849825       -2.818243      
-0.432330       1               1.0             0.306161        0.436564        -0.432330        1.438821      -0.956317        3.674546        1.822898      
-2.398897       1               1.0             1.589622       -0.299636        -2.398897       -7.752487       0.038062       -3.351435        1.157294      
-4.366412       1               1.0             1.315284       -0.567384        -4.366412       -2.177245      -2.562351        1.760971        1.750278      
-0.341998       1               1.0            -0.028790       -1.895839        -0.341998        0.095117      -1.638717        1.765745       -3.020544      
 4.274894       0               1.0            -2.578246        1.562421         2.998833        4.274894      -4.179481        1.644335        2.751542      
 6.860746       1               1.0            -1.519873        0.588121         6.860746        6.137466       2.124098        5.292488        1.509301      
 0.926609       1               1.0            -0.483281        1.088159         0.926609       -2.446031      -1.418619       -1.542173       -2.267918      
-1.792173       0               1.0            -0.204982       -0.323088         6.492110       -1.792173       4.788917       -0.418798        8.825905      
 2.283717       1               1.0            -0.378950       -1.171968         2.283717        3.639046       0.179181        4.718920        2.618136      
-0.851620       1               1.0            -0.074935        2.122924        -0.851620       -1.570425      -2.254794        0.022353       -4.676314      
 0.615292       1               1.0            -0.227589        1.409271         0.615292        1.505122      -1.140056        2.840357       -3.107159      
 0.291574       1               1.0             0.633456        0.041961         0.291574       -2.600431       0.522658        0.187473       -3.134404      
 4.132830       1               1.0            -1.011731       -0.890915         4.132830        0.511843       0.568467        0.524152        2.442734      
 3.543662       1               1.0            -1.804481        0.839896         3.543662        2.374791      -1.849576        1.049651       -3.991386      
-3.647234       1               1.0             0.916029        0.923408        -3.647234       -6.167940      -2.764256       -2.903309       -2.140796      
-1.119242       1               1.0            -0.457515       -1.144810        -1.119242       -3.615439      -3.405029       -2.668112       -1.475987      
 3.015756       1               1.0            -1.309579        0.718049         3.015756       -2.256422      -1.235742       -2.746612       -5.063741      
-3.072936       0               1.0            -0.597331        0.380017         9.437985       -3.072936       6.829643       -2.361493        4.887730      
-2.297623       1               1.0             1.363155        0.561163        -2.297623       -6.375606      -0.383125       -2.356627        0.029164      
-2.371296       0               1.0            -0.797783       -0.754780         5.377371       -2.371296       2.306585       -1.998035        3.834783      
 5.614802       1               1.0            -1.279209       -0.207047         5.614802       -0.817182       1.433366       -1.256136       -2.609077      
 2.553175       1               1.0            -0.140299       -0.081453         2.553175       -3.989366       0.999206       -2.506864        1.376579      
-4.413289       1               1.0             1.386200        1.849793        -4.413289        0.467529      -2.445625        4.525388        1.160600      
 2.745995       1               1.0            -1.173500       -2.193790         2.745995        4.481445      -1.191570        4.220833       -1.698112      
-0.611007       1               1.0             0.351306       -0.507369        -0.611007        1.615834      -1.030844        3.927722        0.809579      
 6.915408       1               1.0            -1.265947        0.764261         6.915408        0.826135       2.764567        0.409555       -2.374603      
 1.935512       1               1.0             0.022377       -0.263567         1.935512       -2.736371       0.756836       -0.979419        0.892044      
 0.075446       1               1.0             0.393142        0.387363         0.075446       -5.455127      -0.247876       -3.072658       -2.512805      
 2.513288       1               1.0            -1.486948        0.978903         2.513288        3.810391      -2.147402        3.020960       -4.415087      
-2.958852       1               1.0             0.907889        0.039770        -2.958852       -1.445997      -2.094651        1.804903       -1.501246      
-0.905086       1               1.0            -0.067000       -1.354222        -0.905086        2.912384      -2.289955        4.518548       -0.263447      
 2.671937       1               1.0            -0.296869       -0.307866         2.671937        3.716844       0.756760        4.935196       -2.884248      
 1.154844       1               1.0             1.031232        1.363087         1.154844       -4.921054       2.303596       -1.462062       -0.198424      
 4.914026       1               1.0            -1.222742       -1.007195         4.914026        0.486727       0.862861        0.143039       -0.038270      
-1.196525       1               1.0             1.375127        1.082991        -1.196525       -1.245840       0.745592        2.793336        0.031416      
-1.478095       1               1.0             0.244361        0.225220        -1.478095       -3.486883      -2.144655       -1.355423       -2.772593      
-0.564373       1               1.0             0.513406        0.312037        -0.564373       -7.663451      -0.610244       -5.078083        1.038679      
 8.362809       1               1.0            -1.180794        2.004002         8.362809        3.934637       4.408417        3.661718        0.153771      
 1.565943       1               1.0            -0.348565       -0.156980         1.565943       -2.289998      -0.468498       -1.158863       -0.089468      
 1.353974       1               1.0            -0.725289        1.207195         1.353974       -1.849091      -1.549567       -1.353525        1.568569      
-1.708263       1               1.0             0.399912        0.382828        -1.708263       -2.483758      -2.015966       -0.089866       -3.260353      
-0.953724       1               1.0             0.498398        0.823244        -0.953724       -4.318592      -1.034221       -1.758545        0.429376      
-2.601752       1               1.0             0.797277        0.380451        -2.601752       -1.065730      -1.992733        1.998557       -1.617666      
-1.458645       1               1.0            -0.619539       -0.325458        -1.458645       -2.469889      -4.118222       -1.795914       -4.328920      
 1.013703       1               1.0             0.409310        1.205654         1.013703       -4.662006       0.727683       -2.252258       -5.084842      
-1.121225       1               1.0             0.360986       -0.023893        -1.121225       -2.553672      -1.518731       -0.225452       -2.839217      
-2.871337       1               1.0            -0.097348        2.198062        -2.871337       -2.349152      -4.326218       -0.794188       -1.874261      
 3.587149       1               1.0            -0.404877        0.039501         3.587149       -7.084710       1.422798       -6.048577        1.986479      
 6.587102       1               1.0            -1.280640        0.124723         6.587102        6.145952       2.402366        5.704584       -1.589753      
 1.869209       0               1.0            -1.930830        0.399375         8.446279        1.869209       2.761554        0.330905        4.782630      
 5.127066       1               1.0            -1.171464       -0.135329         5.127066       -1.667692       1.194200       -1.924868       -1.128684      
 3.331407       1               1.0            -0.072955       -1.255654         3.331407       -6.520448       1.932801       -4.924330       -4.289146      
-1.501352       0               1.0             0.367072        0.861706         1.793834       -1.501352       1.410370        0.837136        3.186933      
-6.457071       1               1.0             1.117367       -0.956231        -6.457071       -6.471261      -5.109605       -2.866951       -4.365586      
 0.511289       1               1.0            -0.493284        0.211874         0.511289       -0.519675      -1.857018        0.367305       -3.219536      
 6.909116       1               1.0            -1.733539       -0.910875         6.909116        2.800083       1.679541        1.594629        0.387589      
-3.037758       1               1.0            -0.115690       -0.356913        -3.037758        3.693783      -4.534955        5.217802       -1.295075      
-2.398645       0               1.0             0.000065        0.545848         3.891711       -2.398645       2.661561       -0.679336        2.674304      
 4.893797       1               1.0            -0.907723       -0.115434         4.893797       -5.382010       1.569379       -5.194230        1.183818      
-0.420216       1               1.0             0.119307        0.992985        -0.420216       -4.608727      -1.375275       -2.688244       -2.192619      
 1.404026       1               1.0            -0.786088        0.061255         1.404026        1.442276      -1.639779        1.835267       -2.128489      
 1.925999       1               1.0             0.187699       -0.537957         1.925999       -4.084215       1.128721       -2.048348        0.051725      
 4.373553       0               1.0             0.687967       -1.388501        -2.491273        4.373553      -2.134433        7.253423        4.521524      
 2.508552       1               1.0             0.605260       -0.547413         2.508552       -5.643088       2.674588       -2.902753        1.225638      
 3.237888       1               1.0             0.253867       -0.326064         3.237888        1.688719       2.593259        3.836217        1.324690      
-0.526453       1               1.0             0.467873        0.745639        -0.526453       -6.646829      -0.677371       -4.138281        0.415228      
-3.362914       1               1.0             0.550143        0.103138        -3.362914       -1.693961      -3.324033        0.953386        0.258363      
 2.238549       1               1.0            -0.515602        0.150833         2.238549       -3.730323      -0.181246       -2.880996       -1.566643      
-1.484216       1               1.0             0.519587        0.816641        -1.484216       -3.368987      -1.515828       -0.773192        0.646354      
 9.185231       1               1.0            -1.994066       -0.250387         9.185231       -2.184508       3.354621       -3.829496        1.509975      
 5.738540       1               1.0            -1.108163        0.280425         5.738540        2.693037       1.951708        2.542655       -2.430035      
 0.913159       0               1.0            -0.709200        1.529963         6.619571        0.913159       3.753147        1.435868        8.767737      
-8.391712       0               1.0             1.119141       -0.988398         2.819959       -8.391712       4.171517       -4.784409        4.331324      
-2.637340       0               1.0             0.498471        0.307943        -1.952683       -2.637340      -2.033011       -0.077170        2.774603      
-8.923073       0               1.0             1.091112       -0.567577        -0.998059       -8.923073       0.288836       -5.363059        2.780695      
-6.115561       0               1.0             0.388990        0.474408         1.906878       -6.115561       1.573977       -3.740096        3.025749      
 1.258655       1               1.0             0.251778        0.300639         1.258655       -5.434076       0.609207       -3.290101       -3.357662      
 2.744259       1               1.0            -0.298310        0.455356         2.744259        1.869930       0.825757        3.085850       -1.480479      
 0.647985       1               1.0             0.794999       -2.030244         0.647985       -4.327385       1.251748       -1.266942       -2.538663      
-0.704493       1               1.0            -0.403708        0.310761        -0.704493        1.276989      -2.866148        2.315093       -0.078317      
 4.596228       1               1.0            -0.477852        0.779763         4.596228        0.330043       2.263524        1.243059       -0.122792      
 7.198520       1               1.0            -1.253978        0.389391         7.198520        0.263299       3.075294       -0.133086       -0.761898      
 3.231241       1               1.0            -0.745384       -2.638845         3.231241        1.302046       0.281339        1.763709       -0.047867      
 2.769380       1               1.0            -0.647622       -1.236388         2.769380       -2.164203       0.045016       -1.537606       -0.377916      
 4.939725       1               1.0            -0.249236       -0.466846         4.939725       -2.204643       3.134437       -0.905930        0.636234      
 0.637972       1               1.0            -0.293268       -0.564726         0.637972       -7.569942      -1.268897       -6.345515       -1.537195      
 3.673347       1               1.0            -0.523933        2.132188         3.673347       -1.862790       1.234335       -1.027517        0.049813      
-0.569818       1               1.0            -0.418536        0.817229        -0.569818       -6.193225      -2.765680       -5.180137       -3.407155      
 1.478288       1               1.0            -1.351538       -1.320364         1.478288       -3.346752      -2.870010       -3.907731        0.408182      
 2.267251       1               1.0            -0.055903        0.098313         2.267251       -0.745840       0.907982        0.879046       -1.381469      
 7.985465       1               1.0            -1.326365       -1.865385         7.985465       -0.446830       3.695241       -0.965340        0.974381      
 2.284899       0               1.0            -1.772086       -0.101132         6.611808        2.284899       1.293306        1.014413        4.556668      
 5.460774       1               1.0            -2.158247       -0.657635         5.460774       -3.390789      -0.748601       -5.312767        0.888676      
-1.052593       1               1.0             0.149136       -1.136776        -1.052593       -3.051446      -1.938835       -1.080638        2.741073      
 0.348942       1               1.0             0.961794       -0.609251         0.348942       -4.493953       1.337501       -1.152111        2.518557      
 1.658621       1               1.0            -0.651166       -1.439367         1.658621       -1.797685      -1.073920       -1.177068       -2.036360      
 5.716230       1               1.0            -0.865613       -1.161440         5.716230       -2.582551       2.488960       -2.323728       -0.159189      
-0.861277       0               1.0             0.312844        0.053764        -2.717622       -0.861277      -3.226192        1.385722        2.495602      
-0.843994       1               1.0             0.268649        1.544504        -0.843994       -1.720215      -1.454522        0.452222        0.531366      
-0.921836       1               1.0            -0.236490       -0.114174        -0.921836       -5.685353      -2.697717       -4.365134        0.042039      
 1.543538       0               1.0            -0.029211        1.548354         2.881416        1.543538       1.583725        3.213455        2.504948      
 4.218864       1               1.0            -0.769705       -0.446491         4.218864        1.233562       1.212853        1.654192        1.726736      
 3.394522       0               1.0            -0.976336       -1.842426         5.622860        3.394522       2.140153        3.466546        3.278776      
 2.461820       0               1.0            -0.639900        1.423253         2.044002        2.461820      -0.662548        3.101445        6.100280      
 8.812810       1               1.0            -0.786172       -0.800139         8.812810       -1.532500       5.768811       -1.139651        0.782236      
 3.047797       1               1.0            -0.980874        0.084416         3.047797        2.508682      -0.445380        2.573049       -1.831335      
-0.603132       1               1.0             0.390950        0.027171        -0.603132       -4.421489      -0.931510       -2.042716        0.467218      
 5.852844       1               1.0            -1.378886       -1.099378         5.852844        3.966651       1.441453        3.359532        0.791376      
-1.590708       1               1.0             0.540038        0.999797        -1.590708       -1.516482      -1.575140        1.113817       -1.001543      
-3.726954       1               1.0             0.099833       -0.255154        -3.726954        3.019246      -4.726939        4.906875       -0.490904      
-1.372834       0               1.0            -0.427868        0.093939         0.535997       -1.372834      -1.681395       -0.375490        4.839833      
 3.944875       1               1.0             0.150911       -0.048419         3.944875       -1.283248       3.062727        0.690555        0.830886      
 0.998885       1               1.0            -1.076652       -0.479679         0.998885        2.406004      -2.715252        2.308785        0.207155      
-5.931500       0               1.0             2.019221       -1.026969         0.790136       -5.931500       4.218179       -0.805672        5.131833      
 3.699067       1               1.0            -0.856490        0.452618         3.699067       -4.911416       0.492844       -4.637200       -2.173984      
 1.220832       1               1.0            -0.774470        0.870558         1.220832        0.536879      -1.796169        0.949472       -0.207006      
 1.349150       1               1.0             0.007225       -0.197413         1.349150       -5.808214       0.135519       -4.076824        0.305239      
-0.600471       1               1.0             0.450839        1.511752        -0.600471       -3.297586      -0.790685       -0.817775       -3.086063      
-3.223333       1               1.0             1.014771        1.790662        -3.223333       -5.212168      -2.112558       -1.780949        0.003253      
 0.963416       1               1.0            -0.691967        0.306410         0.963416        4.122236      -1.863251        4.674018        1.380025      
 1.180033       1               1.0             0.524211        0.699821         1.180033       -5.012009       1.159089       -2.408412       -2.920819      
 1.271595       1               1.0            -0.707388       -0.334027         1.271595       -0.865713      -1.590649       -0.339946       -3.161479      
-1.431863       1               1.0             0.154998        0.495965        -1.431863       -0.877360      -2.304583        1.103337       -0.327820      
 4.908562       1               1.0            -0.739096       -1.334728         4.908562        3.108655       1.973168        3.580927        2.927247      
 7.938916       0               1.0            -2.244286        0.860998         7.643478        7.938916       1.235609        5.871780        7.025515      
 2.137515       1               1.0            -0.916405       -0.348535         2.137515        2.239019      -1.206931        2.412153       -0.049351      
-3.693403       1               1.0             2.156880        0.204137        -3.693403       -2.503204       0.052219        2.854868        0.637572      
 2.763347       1               1.0             0.008578       -1.783332         2.763347        1.059493       1.552835        2.793164        1.310739      
-0.317446       1               1.0            -0.268783       -0.012531        -0.317446        0.542110      -2.167829        1.807846       -2.720469      
-1.531093       1               1.0             0.009115       -0.472126        -1.531093       -1.128522      -2.740365        0.606056       -1.934469      
 0.878211       1               1.0             0.025025        3.266263         0.878211        2.247105      -0.294356        4.008525       -4.953395      
 1.988154       1               1.0             0.269915       -0.378434         1.988154       -0.102754       1.380548        2.071820        1.919995      
 0.053987       1               1.0             0.368669        0.605466         0.053987       -1.252939      -0.325795        1.088242       -1.853771      
-0.592733       1               1.0             0.299215       -0.408329        -0.592733        2.344028      -1.132744        4.568034        0.709496      
